FID,STATION_NAME,LOCAL_TRIP_START_TIME,IMOS_SITE_CODE,NRS_TRIP_CODE,NRS_SAMPLE_CODE,UTC_TRIP_START_TIME,LATITUDE,LONGITUDE,MG_PER_M3,geom
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d80,North Stradbroke,2015-11-19 10:24,NRSNSI,NRSNSI20151119,NRSNSI20151119_ZOOBIOWC,2015-11-19T00:24:00,-27.345,153.562,9.3809,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d7f,North Stradbroke,2015-12-16 10:30,NRSNSI,NRSNSI20151216,NRSNSI20151216_ZOOBIOWC,2015-12-16T00:30:00,-27.345,153.562,14.5503,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d7e,North Stradbroke,2016-01-20 10:30,NRSNSI,NRSNSI20160120,NRSNSI20160120_ZOOBIOWC,2016-01-20T00:30:00,-27.345,153.562,10.8083,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d7d,North Stradbroke,2016-03-18 10:30,NRSNSI,NRSNSI20160318,NRSNSI20160318_ZOOBIOWC,2016-03-18T00:30:00,-27.345,153.562,14.5439,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d7c,North Stradbroke,2016-04-12 10:45,NRSNSI,NRSNSI20160412,NRSNSI20160412_ZOOBIOWC,2016-04-12T00:45:00,-27.345,153.562,7.3813,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d7b,North Stradbroke,2016-05-17 10:30,NRSNSI,NRSNSI20160517,NRSNSI20160517_ZOOBIOWC,2016-05-17T00:30:00,-27.345,153.562,9.9017,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d7a,North Stradbroke,2016-06-23 10:30,NRSNSI,NRSNSI20160623,NRSNSI20160623_ZOOBIOWC,2016-06-23T00:30:00,-27.345,153.562,13.6566,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d79,North Stradbroke,2016-07-20 10:30,NRSNSI,NRSNSI20160720,NRSNSI20160720_ZOOBIOWC,2016-07-20T00:30:00,-27.345,153.562,9.0915,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d78,North Stradbroke,2016-08-22 10:50,NRSNSI,NRSNSI20160822,NRSNSI20160822_ZOOBIOWC,2016-08-22T00:50:00,-27.345,153.562,17.5594,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d77,North Stradbroke,2016-09-20 10:15,NRSNSI,NRSNSI20160920,NRSNSI20160920_ZOOBIOWC,2016-09-20T00:15:00,-27.345,153.562,10.5254,POINT (153.562 -27.345)
